"Año";"Periodo";"Estimación de muertes semanales"
"2006";"Semana 29";"7.433"
"2006";"Semana 30";"7.349"
"2006";"Semana 31";"6.883"
"2006";"Semana 32";"6.554"
"2006";"Semana 33";"6.142"
"2006";"Semana 34";"6.449"
"2006";"Semana 35";"6.586"
"2006";"Semana 36";"6.755"
"2006";"Semana 37";"6.275"
"2006";"Semana 38";"6.389"
"2006";"Semana 39";"6.475"
"2006";"Semana 40";"6.342"
"2006";"Semana 41";"6.572"
"2006";"Semana 42";"6.686"
"2006";"Semana 43";"6.841"
"2006";"Semana 44";"6.852"
"2006";"Semana 45";"6.726"
"2006";"Semana 46";"6.935"
"2006";"Semana 47";"7.254"
"2006";"Semana 48";"7.044"
"2006";"Semana 49";"7.248"
"2006";"Semana 50";"7.593"
"2006";"Semana 51";"7.909"
"2006";"Semana 52";"8.529"
"2007";"Semana 1";"8.742"
"2007";"Semana 2";"8.807"
"2007";"Semana 3";"8.477"
"2007";"Semana 4";"8.505"
"2007";"Semana 5";"9.021"
"2007";"Semana 6";"9.198"
"2007";"Semana 7";"8.466"
"2007";"Semana 8";"8.009"
"2007";"Semana 9";"8.016"
"2007";"Semana 10";"7.503"
"2007";"Semana 11";"7.396"
"2007";"Semana 12";"7.704"
"2007";"Semana 13";"7.756"
"2007";"Semana 14";"7.628"
"2007";"Semana 15";"7.568"
"2007";"Semana 16";"7.460"
"2007";"Semana 17";"7.029"
"2007";"Semana 18";"6.820"
"2007";"Semana 19";"7.162"
"2007";"Semana 20";"7.086"
"2007";"Semana 21";"6.711"
"2007";"Semana 22";"6.772"
"2007";"Semana 23";"6.844"
"2007";"Semana 24";"6.789"
"2007";"Semana 25";"6.717"
"2007";"Semana 26";"6.565"
"2007";"Semana 27";"6.723"
"2007";"Semana 28";"6.680"
"2007";"Semana 29";"6.623"
"2007";"Semana 30";"6.715"
"2007";"Semana 31";"7.268"
"2007";"Semana 32";"6.608"
"2007";"Semana 33";"6.418"
"2007";"Semana 34";"6.304"
"2007";"Semana 35";"6.492"
"2007";"Semana 36";"6.396"
"2007";"Semana 37";"6.557"
"2007";"Semana 38";"6.243"
"2007";"Semana 39";"6.460"
"2007";"Semana 40";"6.732"
"2007";"Semana 41";"6.612"
"2007";"Semana 42";"7.109"
"2007";"Semana 43";"6.995"
"2007";"Semana 44";"7.249"
"2007";"Semana 45";"7.420"
"2007";"Semana 46";"7.543"
"2007";"Semana 47";"7.837"
"2007";"Semana 48";"7.803"
"2007";"Semana 49";"7.934"
"2007";"Semana 50";"7.861"
"2007";"Semana 51";"8.473"
"2007";"Semana 52";"8.287"
"2008";"Semana 1";"9.001"
"2008";"Semana 2";"8.982"
"2008";"Semana 3";"8.690"
"2008";"Semana 4";"8.150"
"2008";"Semana 5";"8.095"
"2008";"Semana 6";"8.283"
"2008";"Semana 7";"8.347"
"2008";"Semana 8";"8.188"
"2008";"Semana 9";"8.190"
"2008";"Semana 10";"7.796"
"2008";"Semana 11";"7.908"
"2008";"Semana 12";"7.518"
"2008";"Semana 13";"7.731"
"2008";"Semana 14";"7.738"
"2008";"Semana 15";"7.496"
"2008";"Semana 16";"7.347"
"2008";"Semana 17";"7.322"
"2008";"Semana 18";"6.981"
"2008";"Semana 19";"7.075"
"2008";"Semana 20";"6.527"
"2008";"Semana 21";"6.775"
"2008";"Semana 22";"6.440"
"2008";"Semana 23";"6.556"
"2008";"Semana 24";"6.771"
"2008";"Semana 25";"7.015"
"2008";"Semana 26";"7.283"
"2008";"Semana 27";"7.127"
"2008";"Semana 28";"6.754"
"2008";"Semana 29";"6.645"
"2008";"Semana 30";"6.673"
"2008";"Semana 31";"6.953"
"2008";"Semana 32";"6.870"
"2008";"Semana 33";"6.764"
"2008";"Semana 34";"6.577"
"2008";"Semana 35";"6.379"
"2008";"Semana 36";"6.375"
"2008";"Semana 37";"6.289"
"2008";"Semana 38";"6.378"
"2008";"Semana 39";"6.161"
"2008";"Semana 40";"6.539"
"2008";"Semana 41";"7.096"
"2008";"Semana 42";"7.047"
"2008";"Semana 43";"6.846"
"2008";"Semana 44";"7.199"
"2008";"Semana 45";"7.054"
"2008";"Semana 46";"7.529"
"2008";"Semana 47";"7.403"
"2008";"Semana 48";"7.527"
"2008";"Semana 49";"8.102"
"2008";"Semana 50";"7.938"
"2008";"Semana 51";"8.205"
"2008";"Semana 52";"8.713"
"2009";"Semana 1";"9.494"
"2009";"Semana 2";"9.319"
"2009";"Semana 3";"9.868"
"2009";"Semana 4";"9.522"
"2009";"Semana 5";"8.868"
"2009";"Semana 6";"8.451"
"2009";"Semana 7";"8.046"
"2009";"Semana 8";"7.986"
"2009";"Semana 9";"7.844"
"2009";"Semana 10";"7.743"
"2009";"Semana 11";"7.652"
"2009";"Semana 12";"7.425"
"2009";"Semana 13";"7.337"
"2009";"Semana 14";"7.377"
"2009";"Semana 15";"7.285"
"2009";"Semana 16";"7.176"
"2009";"Semana 17";"7.286"
"2009";"Semana 18";"6.994"
"2009";"Semana 19";"7.310"
"2009";"Semana 20";"7.030"
"2009";"Semana 21";"7.053"
"2009";"Semana 22";"6.712"
"2009";"Semana 23";"6.759"
"2009";"Semana 24";"6.803"
"2009";"Semana 25";"7.016"
"2009";"Semana 26";"6.714"
"2009";"Semana 27";"7.041"
"2009";"Semana 28";"6.519"
"2009";"Semana 29";"6.588"
"2009";"Semana 30";"6.693"
"2009";"Semana 31";"6.759"
"2009";"Semana 32";"6.703"
"2009";"Semana 33";"6.679"
"2009";"Semana 34";"6.997"
"2009";"Semana 35";"6.786"
"2009";"Semana 36";"6.482"
"2009";"Semana 37";"6.315"
"2009";"Semana 38";"6.259"
"2009";"Semana 39";"6.539"
"2009";"Semana 40";"6.778"
"2009";"Semana 41";"6.908"
"2009";"Semana 42";"6.685"
"2009";"Semana 43";"7.042"
"2009";"Semana 44";"7.144"
"2009";"Semana 45";"6.918"
"2009";"Semana 46";"7.313"
"2009";"Semana 47";"7.365"
"2009";"Semana 48";"7.219"
"2009";"Semana 49";"7.509"
"2009";"Semana 50";"7.547"
"2009";"Semana 51";"7.969"
"2009";"Semana 52";"8.568"
"2009";"Semana 53";"8.345"
"2010";"Semana 1";"8.205"
"2010";"Semana 2";"8.640"
"2010";"Semana 3";"8.322"
"2010";"Semana 4";"8.063"
"2010";"Semana 5";"8.154"
"2010";"Semana 6";"7.954"
"2010";"Semana 7";"8.283"
"2010";"Semana 8";"8.059"
"2010";"Semana 9";"7.471"
"2010";"Semana 10";"7.498"
"2010";"Semana 11";"7.778"
"2010";"Semana 12";"7.568"
"2010";"Semana 13";"7.237"
"2010";"Semana 14";"7.299"
"2010";"Semana 15";"7.476"
"2010";"Semana 16";"7.156"
"2010";"Semana 17";"7.228"
"2010";"Semana 18";"6.815"
"2010";"Semana 19";"6.884"
"2010";"Semana 20";"7.272"
"2010";"Semana 21";"7.159"
"2010";"Semana 22";"7.162"
"2010";"Semana 23";"6.475"
"2010";"Semana 24";"6.496"
"2010";"Semana 25";"6.808"
"2010";"Semana 26";"7.220"
"2010";"Semana 27";"7.355"
"2010";"Semana 28";"7.298"
"2010";"Semana 29";"6.888"
"2010";"Semana 30";"6.648"
"2010";"Semana 31";"6.651"
"2010";"Semana 32";"6.752"
"2010";"Semana 33";"6.545"
"2010";"Semana 34";"6.822"
"2010";"Semana 35";"6.557"
"2010";"Semana 36";"6.410"
"2010";"Semana 37";"6.329"
"2010";"Semana 38";"6.486"
"2010";"Semana 39";"6.655"
"2010";"Semana 40";"6.942"
"2010";"Semana 41";"6.682"
"2010";"Semana 42";"7.074"
"2010";"Semana 43";"7.305"
"2010";"Semana 44";"7.292"
"2010";"Semana 45";"7.299"
"2010";"Semana 46";"7.354"
"2010";"Semana 47";"7.531"
"2010";"Semana 48";"7.752"
"2010";"Semana 49";"7.782"
"2010";"Semana 50";"7.681"
"2010";"Semana 51";"7.917"
"2010";"Semana 52";"8.499"
"2011";"Semana 1";"8.886"
"2011";"Semana 2";"8.440"
"2011";"Semana 3";"8.419"
"2011";"Semana 4";"8.699"
"2011";"Semana 5";"8.657"
"2011";"Semana 6";"8.684"
"2011";"Semana 7";"8.496"
"2011";"Semana 8";"8.135"
"2011";"Semana 9";"7.822"
"2011";"Semana 10";"7.970"
"2011";"Semana 11";"7.851"
"2011";"Semana 12";"7.529"
"2011";"Semana 13";"7.625"
"2011";"Semana 14";"7.545"
"2011";"Semana 15";"7.071"
"2011";"Semana 16";"6.915"
"2011";"Semana 17";"7.090"
"2011";"Semana 18";"6.941"
"2011";"Semana 19";"6.988"
"2011";"Semana 20";"6.855"
"2011";"Semana 21";"7.218"
"2011";"Semana 22";"6.743"
"2011";"Semana 23";"6.690"
"2011";"Semana 24";"6.851"
"2011";"Semana 25";"7.030"
"2011";"Semana 26";"7.393"
"2011";"Semana 27";"6.873"
"2011";"Semana 28";"6.827"
